sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,confidence,bbox_width,bbox_height,bbox_area
9221,empty_seat,0,1,0,0.7794,355.22,313.38,111318.28
9222,empty_seat,0,1,0,0.7255,367.19,314.2,115372.05
9223,empty_seat,0,1,0,0.7303,374.86,317.56,119040.51
9224,empty_seat,0,1,0,0.7117,354.34,306.63,108654.21
9225,empty_seat,0,1,0,0.7284,364.13,310.91,113213.11
9226,empty_seat,0,1,0,0.7035,374.09,311.41,116496.02
9227,empty_seat,0,1,0,0.7454,370.71,315.53,116970.13
9228,empty_seat,0,1,0,0.7723,347.21,310.47,107799.4
9229,empty_seat,0,1,0,0.6971,374.84,316.51,118642.31
9230,empty_seat,0,1,0,0.7217,376.93,310.07,116873.97
9231,empty_seat,0,1,0,0.7086,369.74,315.73,116739.83
9232,empty_seat,0,1,0,0.7596,382.45,317.35,121369.68
9233,empty_seat,0,1,0,0.6866,363.47,309.87,112628.17
9234,empty_seat,0,1,0,0.7283,370.91,313.08,116125.75
9235,empty_seat,0,1,0,0.6932,366.2,313.75,114895.34
9236,empty_seat,0,1,0,0.7145,366.2,306.59,112271.65
9237,empty_seat,0,1,0,0.7102,374.98,312.6,117217.52
9238,empty_seat,0,1,0,0.6856,368.24,309.08,113818.55
9239,empty_seat,0,1,0,0.7505,372.57,310.95,115850.85
9240,empty_seat,0,1,0,0.7163,362.16,308.92,111877.14
9241,empty_seat,0,1,0,0.7204,369.19,312.99,115552.38
9242,empty_seat,0,1,0,0.7605,385.23,313.58,120798.79
9243,empty_seat,0,1,0,0.7207,387.8,314.75,122062.19
9244,empty_seat,0,1,0,0.707,365.21,311.85,113890.52
9245,empty_seat,0,1,0,0.6957,373.72,310.91,116194.28
9246,empty_seat,0,1,0,0.7215,370.21,314.58,116461.55
9247,empty_seat,0,1,0,0.6551,365.91,307.52,112525.17
9248,empty_seat,0,1,0,0.7232,370.66,311.49,115458.89
9249,empty_seat,0,1,0,0.7507,366.6,314.61,115335.47
9250,empty_seat,0,1,0,0.6797,368.24,315.55,116198.54
9251,empty_seat,0,1,0,0.6875,374.77,313.41,117454.94
9252,empty_seat,0,1,0,0.7379,368.7,314.3,115882.05
9253,empty_seat,0,1,0,0.7252,367.16,313.76,115198
9254,empty_seat,0,1,0,0.7002,366.53,307.07,112550.85
9255,empty_seat,0,1,0,0.6762,373.82,311.27,116360.93
9256,empty_seat,0,1,0,0.7284,385.6,314.74,121363.66
9257,empty_seat,0,1,0,0.7471,370.54,312.64,115845.69
9258,empty_seat,0,1,0,0.6284,378.29,312.03,118036.46
9259,empty_seat,0,1,0,0.7024,362.67,312.81,113449.59
9260,empty_seat,0,1,0,0.7361,379.11,314.28,119144.52
9261,empty_seat,0,1,0,0.6697,378.79,308.58,116887.87
9262,empty_seat,0,1,0,0.7361,367.51,311.97,114650.45
9263,empty_seat,0,1,0,0.7381,373.72,313.07,117003.23
9264,empty_seat,0,1,0,0.6929,351.4,303.64,106697.07
9265,empty_seat,0,1,0,0.732,364.36,314.67,114651.77
9266,empty_seat,0,1,0,0.7272,367.67,314.09,115480.86
9267,empty_seat,0,1,0,0.6882,371.28,312.55,116043.09
9268,empty_seat,0,1,0,0.686,372.51,311.65,116092.22
9269,empty_seat,0,1,0,0.7442,364.68,311.98,113773.42
9270,empty_seat,0,1,0,0.7386,367.28,315.47,115865.77
9271,empty_seat,0,1,0,0.7249,367.89,311.83,114719.66
9272,empty_seat,0,1,0,0.7085,369.75,308.89,114211.86
9273,empty_seat,0,1,0,0.7013,373.25,312.21,116533.77
9274,empty_seat,0,1,0,0.6847,381.27,311.33,118701.66
9275,empty_seat,0,1,0,0.7751,370.43,315.46,116857.65
9276,empty_seat,0,1,0,0.719,353.4,313.78,110892
9277,empty_seat,0,1,0,0.7117,366.71,314.97,115503.6
9278,empty_seat,0,1,0,0.7487,376.3,311.45,117198.01
9279,empty_seat,0,1,0,0.7276,356.86,309.32,110385.17
9280,empty_seat,0,1,0,0.7299,374.1,311.71,116608.72
9281,empty_seat,0,1,0,0.7411,364.01,314.21,114375.08
9282,empty_seat,0,1,0,0.7348,366.04,315.14,115352.8
9283,empty_seat,0,1,0,0.7198,372.04,313.07,116473.16
